,Time,Concentration,Bioagent,Type
474,4.74,181240875.50361213,CFU,wt
475,4.75,181984507.25916564,CFU,wt
476,4.76,182730728.89278737,CFU,wt
477,4.7700000000000005,183479545.63748023,CFU,wt
478,4.78,184230962.7049373,CFU,wt
479,4.79,184984985.28522453,CFU,wt
480,4.8,185741618.54646176,CFU,wt
481,4.8100000000000005,186500867.63450232,CFU,wt
482,4.82,187262737.67261103,CFU,wt
483,4.83,188027233.76114118,CFU,wt
484,4.84,188794360.9772097,CFU,wt
485,4.8500000000000005,189564124.37437093,CFU,wt
486,4.86,190336528.98228905,CFU,wt
487,4.87,191111579.80640933,CFU,wt
488,4.88,191889281.8276276,CFU,wt
489,4.89,192669640.00195846,CFU,wt
490,4.9,193452659.26020232,CFU,wt
491,4.91,194238344.5076107,CFU,wt
492,4.92,195026700.62355065,CFU,wt
493,4.93,195817732.4611674,CFU,wt
494,4.94,196611444.84704602,CFU,wt
495,4.95,197407842.58087128,CFU,wt
496,4.96,198206930.43508697,CFU,wt
497,4.97,199008713.15455317,CFU,wt
498,4.98,199813195.4562028,CFU,wt
499,4.99,200620382.02869624,CFU,wt
500,5.0,201430277.53207567,CFU,wt
501,5.01,202242886.59741732,CFU,wt
502,5.0200000000000005,203058213.82648283,CFU,wt
503,5.03,203876263.79136926,CFU,wt
504,5.04,204697041.03415826,CFU,wt
505,5.05,205520550.06656364,CFU,wt
506,5.0600000000000005,206346795.36957803,CFU,wt
507,5.07,207175781.3931181,CFU,wt
508,5.08,208007512.55566907,CFU,wt
509,5.09,208841993.2439278,CFU,wt
510,5.1000000000000005,209679227.81244484,CFU,wt
511,5.11,210519220.58326513,CFU,wt
512,5.12,211361975.8455684,CFU,wt
513,5.13,212207497.85530755,CFU,wt
514,5.14,213055790.83484674,CFU,wt
515,5.15,213906858.97259802,CFU,wt
516,5.16,214760706.42265686,CFU,wt
517,5.17,215617337.30443743,CFU,wt
518,5.18,216476755.70230606,CFU,wt
519,5.19,217338965.66521415,CFU,wt
520,5.2,218203971.20633006,CFU,wt
521,5.21,219071776.30267015,CFU,wt
522,5.22,219942384.89472908,CFU,wt
523,5.23,220815800.8861087,CFU,wt
524,5.24,221692028.14314657,CFU,wt
525,5.25,222571070.49454364,CFU,wt
526,5.26,223452931.73099086,CFU,wt
527,5.2700000000000005,224337615.6047951,CFU,wt
528,5.28,225225125.82950416,CFU,wt
529,5.29,226115466.0795316,CFU,wt
530,5.3,227008639.98978007,CFU,wt
531,5.3100000000000005,227904651.15526438,CFU,wt
532,5.32,228803503.1307336,CFU,wt
533,5.33,229705199.43029302,CFU,wt
534,5.34,230609743.52702484,CFU,wt
535,5.3500000000000005,231517138.8526087,CFU,wt
536,5.36,232427388.79694113,CFU,wt
537,5.37,233340496.70775512,CFU,wt
538,5.38,234256465.89023843,CFU,wt
539,5.39,235175299.6066519,CFU,wt
540,5.4,236097001.07594696,CFU,wt
541,5.41,237021573.4733825,CFU,wt
542,5.42,237949019.93014213,CFU,wt
543,5.43,238879343.53294986,CFU,wt
544,5.44,239812547.32368633,CFU,wt
545,5.45,240748634.29900372,CFU,wt
546,5.46,241687607.40994155,CFU,wt
547,5.47,242629469.56154105,CFU,wt
548,5.48,243574223.61245984,CFU,wt
549,5.49,244521872.37458572,CFU,wt
550,5.5,245472418.6126513,CFU,wt
551,5.51,246425865.04384726,CFU,wt
552,5.5200000000000005,247382214.33743623,CFU,wt
553,5.53,248341469.11436573,CFU,wt
554,5.54,249303631.94688207,CFU,wt
555,5.55,250268705.3581431,CFU,wt
556,5.5600000000000005,251236691.82183146,CFU,wt
557,5.57,252207593.76176742,CFU,wt
558,5.58,253181413.55152228,CFU,wt
559,5.59,254158153.51403108,CFU,wt
560,5.6000000000000005,255137815.921206,CFU,wt
561,5.61,256120402.99354905,CFU,wt
562,5.62,257105916.89976588,CFU,wt
563,5.63,258094359.75637877,CFU,wt
564,5.64,259085733.62734053,CFU,wt
565,5.65,260080040.52364796,CFU,wt
566,5.66,261077282.40295586,CFU,wt
567,5.67,262077461.1691916,CFU,wt
568,5.68,263080578.67216936,CFU,wt
569,5.69,264086636.70720515,CFU,wt
570,5.7,265095637.0147317,CFU,wt
571,5.71,266107581.2799147,CFU,wt
572,5.72,267122471.13226828,CFU,wt
573,5.73,268140308.14527187,CFU,wt
